,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,relatives,not_alone,Deck,Title,Age_Class,Fare_Per_Person
52,1,1,1,6,1,0,3,1,1,0,4,3,6,1
53,1,2,1,4,1,0,2,0,1,0,8,3,8,1
54,0,1,0,6,0,1,3,1,1,0,2,1,6,1
55,1,1,0,2,0,0,3,0,0,1,3,1,2,3
56,1,2,1,2,0,0,1,0,0,1,8,2,4,1
57,0,3,0,4,0,0,0,1,0,1,8,1,12,0
58,1,2,1,0,1,2,2,0,3,0,8,2,0,0
59,0,3,0,0,5,2,3,0,7,0,8,4,0,0
60,0,3,0,2,0,0,0,1,0,1,8,1,6,0
61,1,1,1,5,0,0,3,0,0,1,2,2,5,3
62,0,1,0,6,1,0,3,0,1,0,3,1,6,1
63,0,3,0,0,3,2,2,0,5,0,8,4,0,0
64,0,1,0,1,0,0,2,1,0,1,8,1,1,2
65,1,3,0,1,1,1,2,1,2,0,8,4,3,0
66,1,2,1,4,0,0,1,0,0,1,6,3,8,1
67,0,3,0,2,0,0,1,0,0,1,8,1,6,1
68,1,3,1,1,4,2,0,0,6,0,8,2,3,0
69,0,3,0,3,2,0,1,0,2,0,8,1,9,0
70,0,2,0,4,0,0,1,0,0,1,8,1,8,1
71,0,3,1,1,5,2,3,0,7,0,8,2,3,0
72,0,2,0,2,0,0,3,0,0,1,8,1,4,3
73,0,3,0,3,1,0,1,1,1,0,8,1,9,0
74,1,3,0,4,0,0,3,0,0,1,8,1,12,3
75,0,3,0,3,0,0,0,0,0,1,6,1,9,0
76,0,3,0,5,0,0,0,0,0,1,8,1,15,0
77,0,3,0,1,0,0,1,0,0,1,8,1,3,1
78,1,2,0,0,0,2,2,0,2,0,8,4,0,0
79,1,3,1,4,0,0,1,0,0,1,8,2,12,1
80,0,3,0,2,0,0,1,0,0,1,8,1,6,1
81,1,3,0,4,0,0,1,0,0,1,8,1,12,1
82,1,3,1,6,0,0,0,2,0,1,8,2,18,0
83,0,1,0,4,0,0,3,0,0,1,8,1,4,3
84,1,2,1,1,0,0,1,0,0,1,8,2,2,1
85,1,3,1,4,3,0,2,0,3,0,8,3,12,0
86,0,3,0,1,1,3,3,0,4,0,8,1,3,0
87,0,3,0,3,0,0,1,0,0,1,8,1,9,1
88,1,1,1,3,3,2,5,0,5,0,3,2,3,0
89,0,3,0,3,0,0,1,0,0,1,8,1,9,1
90,0,3,0,4,0,0,1,0,0,1,8,1,12,1
91,0,3,0,2,0,0,0,0,0,1,8,1,6,0
92,0,1,0,6,1,0,3,0,1,0,5,1,6,1
93,0,3,0,3,1,2,2,0,3,0,8,1,9,0
94,0,3,0,6,0,0,0,0,0,1,8,1,18,0
95,0,3,0,3,0,0,1,0,0,1,8,1,9,1
96,0,1,0,6,0,0,3,1,0,1,1,1,6,3
97,1,1,0,3,0,1,3,1,1,0,4,1,3,1
98,1,2,1,5,0,1,2,0,1,0,8,3,10,1
99,0,2,0,5,1,0,2,0,1,0,8,1,10,1
100,0,3,1,4,0,0,0,0,0,1,8,2,12,0
101,0,3,0,5,0,0,0,0,0,1,8,1,15,0
102,0,1,0,2,0,1,3,0,1,0,4,1,2,1
103,0,3,0,4,0,0,1,0,0,1,8,1,12,1
104,0,3,0,5,2,0,0,0,2,0,8,1,15,0
105,0,3,0,4,0,0,0,0,0,1,8,1,12,0
106,1,3,1,2,0,0,0,0,0,1,8,2,6,0
107,1,3,0,5,0,0,0,0,0,1,8,1,15,0
108,0,3,0,5,0,0,0,0,0,1,8,1,15,0
109,1,3,1,2,1,0,2,2,1,0,8,2,6,1
110,0,1,0,6,0,0,3,0,0,1,3,1,6,3
111,0,3,1,1,1,0,1,1,1,0,8,2,3,0
112,0,3,0,2,0,0,1,0,0,1,8,1,6,1
113,0,3,1,2,1,0,1,0,1,0,8,2,6,0
114,0,3,1,1,0,0,1,1,0,1,8,2,3,1
115,0,3,0,2,0,0,0,0,0,1,8,1,6,0
116,0,3,0,6,0,0,0,2,0,1,8,1,18,0
117,0,2,0,4,1,0,2,0,1,0,8,1,8,1
118,0,1,0,3,0,1,4,1,1,0,2,1,3,2
119,0,3,1,0,4,2,2,0,6,0,8,2,0,0
120,0,2,0,2,2,0,3,0,2,0,8,1,4,1
121,0,3,0,1,0,0,1,0,0,1,8,1,3,1
122,0,2,0,4,1,0,2,1,1,0,8,1,8,1
123,1,2,1,4,0,0,1,0,0,1,5,2,8,1
124,0,1,0,6,0,1,3,0,1,0,4,1,6,1
125,1,3,0,1,1,0,1,1,1,0,8,4,3,0
126,0,3,0,3,0,0,0,2,0,1,8,1,9,0
127,1,3,0,3,0,0,0,0,0,1,8,1,9,0
128,1,3,1,3,1,1,2,1,2,0,6,2,9,0
129,0,3,0,6,0,0,0,0,0,1,8,1,18,0
130,0,3,0,4,0,0,0,1,0,1,8,1,12,0
131,0,3,0,2,0,0,0,0,0,1,8,1,6,0
132,0,3,1,6,1,0,1,0,1,0,8,3,18,0
133,1,2,1,4,1,0,2,0,1,0,8,3,8,1
134,0,2,0,3,0,0,1,0,0,1,8,1,6,1
135,0,2,0,3,0,0,2,1,0,1,8,1,6,2
136,1,1,1,2,0,2,2,0,2,0,4,2,2,0
137,0,1,0,5,1,0,3,0,1,0,3,1,5,1
138,0,3,0,1,0,0,1,0,0,1,8,1,3,1
139,0,1,0,3,0,0,3,1,0,1,2,1,3,3
140,0,3,1,5,0,2,2,1,2,0,8,3,15,0
141,1,3,1,2,0,0,0,0,0,1,8,2,6,0
142,1,3,1,3,1,0,2,0,1,0,8,3,9,1
143,0,3,0,2,0,0,0,2,0,1,8,1,6,0
144,0,2,0,1,0,0,1,0,0,1,8,1,2,1
145,0,2,0,2,1,1,3,0,2,0,8,1,4,1
146,1,3,0,3,0,0,0,0,0,1,8,1,9,0
147,0,3,1,0,2,2,3,0,4,0,8,2,0,0
148,0,2,0,5,0,2,2,0,2,0,6,1,10,0
149,0,2,0,6,0,0,1,0,0,1,8,5,12,1
150,0,2,0,6,0,0,1,0,0,1,8,5,12,1
151,1,1,1,2,1,0,3,0,1,0,3,3,2,1
152,0,3,0,6,0,0,1,0,0,1,8,1,18,1
153,0,3,0,5,0,2,1,0,2,0,8,1,15,0
154,0,3,0,4,0,0,0,0,0,1,8,1,12,0
155,0,1,0,6,0,1,3,1,1,0,8,1,6,1
156,1,3,1,1,0,0,0,2,0,1,8,2,3,0
157,0,3,0,4,0,0,1,0,0,1,8,1,12,1
158,0,3,0,5,0,0,1,0,0,1,8,1,15,1
159,0,3,0,3,8,2,3,0,10,0,8,4,9,0
160,0,3,0,6,0,1,2,0,1,0,8,1,18,1
161,1,2,1,5,0,0,2,0,0,1,8,3,10,2
162,0,3,0,3,0,0,0,0,0,1,8,1,9,0
163,0,3,0,1,0,0,1,0,0,1,8,1,3,1
164,0,3,0,0,4,1,3,0,5,0,8,4,0,0
165,1,3,0,0,0,2,2,0,2,0,8,4,0,0
166,1,1,1,5,0,1,3,0,1,0,5,3,5,1
167,0,3,1,6,1,4,2,0,5,0,8,3,18,0
168,0,1,0,6,0,0,2,0,0,1,8,1,6,2
169,0,3,0,4,0,0,3,0,0,1,8,1,12,3
170,0,1,0,6,0,0,3,0,0,1,2,1,6,3
171,0,3,0,0,4,1,2,2,5,0,8,4,0,0
172,1,3,1,0,1,1,1,0,2,0,8,2,0,0
173,0,3,0,2,0,0,0,0,0,1,8,1,6,0
174,0,1,0,6,0,0,2,1,0,1,1,1,6,2
175,0,3,0,1,1,1,0,0,2,0,8,1,3,0
176,0,3,0,5,3,1,2,0,4,0,8,4,15,0
177,0,1,1,6,0,0,2,1,0,1,3,2,6,2
178,0,2,0,4,0,0,1,0,0,1,8,1,8,1
179,0,3,0,5,0,0,0,0,0,1,8,1,15,0
180,0,3,1,4,8,2,3,0,10,0,8,2,12,0
181,0,2,0,5,0,0,2,1,0,1,8,1,10,2
182,0,3,0,0,4,2,2,0,6,0,8,4,0,0
183,1,2,0,0,2,1,3,0,3,0,6,4,0,0
184,1,3,1,0,0,2,2,0,2,0,8,2,0,0
185,0,1,0,3,0,0,3,0,0,1,1,1,3,3
186,1,3,1,5,1,0,2,2,1,0,8,3,15,1
187,1,1,0,6,0,0,2,0,0,1,8,1,6,2
188,0,3,0,5,1,1,2,2,2,0,8,1,15,0
189,0,3,0,5,0,0,0,0,0,1,8,1,15,0
190,1,2,1,4,0,0,1,0,0,1,8,3,8,1
191,0,2,0,2,0,0,1,0,0,1,8,1,4,1
192,1,3,1,2,1,0,0,0,1,0,8,2,6,0
193,1,2,0,0,1,1,2,0,2,0,6,4,0,0
194,1,1,1,6,0,0,2,1,0,1,2,3,6,2
195,1,1,1,6,0,0,4,1,0,1,2,2,6,4
196,0,3,0,4,0,0,0,2,0,1,8,1,12,0
197,0,3,0,6,0,1,1,0,1,0,8,1,18,0
198,1,3,1,1,0,0,0,2,0,1,8,2,3,0
199,0,2,1,3,0,0,1,0,0,1,8,2,6,1
200,0,3,0,4,0,0,1,0,0,1,8,1,12,1
201,0,3,0,5,8,2,3,0,10,0,8,1,15,0
202,0,3,0,5,0,0,0,0,0,1,8,1,15,0
203,0,3,0,6,0,0,0,1,0,1,8,1,18,0
204,1,3,0,1,0,0,1,0,0,1,8,1,3,1
205,0,3,1,0,0,1,1,0,1,0,7,2,0,0
206,0,3,0,4,1,0,2,0,1,0,8,1,12,1
207,1,3,0,3,0,0,2,1,0,1,8,1,9,2
208,1,3,1,1,0,0,0,2,0,1,8,2,3,0
209,1,1,0,5,0,0,2,1,0,1,1,1,5,2
210,0,3,0,3,0,0,0,0,0,1,8,1,9,0
211,1,2,1,5,0,0,2,0,0,1,8,2,10,2
212,0,3,0,2,0,0,0,0,0,1,8,1,6,0
213,0,2,0,4,0,0,1,0,0,1,8,1,8,1
214,0,3,0,4,1,0,0,2,1,0,8,1,12,0
215,1,1,1,4,1,0,4,1,1,0,4,2,4,2
216,1,3,1,3,0,0,0,0,0,1,8,2,9,0
217,0,2,0,6,1,0,2,0,1,0,8,1,12,1
218,1,1,1,4,0,0,3,1,0,1,4,2,4,3
219,0,2,0,4,0,0,1,0,0,1,8,1,8,1
220,1,3,0,1,0,0,1,0,0,1,8,1,3,1
221,0,2,0,3,0,0,1,0,0,1,8,1,6,1
222,0,3,0,6,0,0,1,0,0,1,8,1,18,1
223,0,3,0,5,0,0,0,0,0,1,8,1,15,0
224,1,1,0,5,1,0,3,0,1,0,3,1,5,1
225,0,3,0,2,0,0,1,0,0,1,8,1,6,1
226,1,2,0,2,0,0,1,0,0,1,8,1,4,1
227,0,3,0,2,0,0,0,0,0,1,8,1,6,0
228,0,2,0,1,0,0,1,0,0,1,8,1,2,1
229,0,3,1,4,3,1,2,0,4,0,8,2,12,0
230,1,1,1,5,1,0,3,0,1,0,3,3,5,1
231,0,3,0,4,0,0,0,0,0,1,8,1,12,0
232,0,2,0,6,0,0,1,0,0,1,8,1,12,1
233,1,3,1,0,4,2,2,0,6,0,8,2,0,0
234,0,2,0,3,0,0,1,0,0,1,8,1,6,1
235,0,3,1,5,0,0,0,0,0,1,8,2,15,0
236,0,2,0,6,1,0,2,0,1,0,8,1,12,1
237,1,2,1,0,0,2,2,0,2,0,8,2,0,0
238,0,2,0,2,0,0,1,0,0,1,8,1,4,1
239,0,2,0,4,0,0,1,0,0,1,8,1,8,1
240,0,3,1,5,1,0,1,1,1,0,8,2,15,0
241,1,3,1,1,1,0,2,2,1,0,8,2,3,1
242,0,2,0,4,0,0,1,0,0,1,8,1,8,1
243,0,3,0,2,0,0,0,0,0,1,8,1,6,0
244,0,3,0,4,0,0,0,1,0,1,8,1,12,0
245,0,1,0,6,2,0,3,2,2,0,3,5,6,1
246,0,3,1,3,0,0,0,0,0,1,8,2,9,0
247,1,2,1,3,0,2,1,0,2,0,8,3,6,0
248,1,1,0,5,1,1,3,0,2,0,4,1,5,1
249,0,2,0,6,1,0,2,0,1,0,8,5,12,1
250,0,3,0,3,0,0,0,0,0,1,8,1,9,0
251,0,3,1,4,1,1,1,0,2,0,7,3,12,0
252,0,1,0,6,0,0,2,0,0,1,3,1,6,2
253,0,3,0,4,1,0,2,0,1,0,8,1,12,1
254,0,3,1,6,0,2,2,0,2,0,8,3,18,0
255,1,3,1,4,0,2,2,1,2,0,8,3,12,0
256,1,1,1,2,0,0,3,1,0,1,8,3,2,3
257,1,1,1,4,0,0,3,0,0,1,2,2,4,3
258,1,1,1,5,0,0,5,1,0,1,8,2,5,5
259,1,2,1,6,0,1,2,0,1,0,8,3,12,1
260,0,3,0,5,0,0,0,2,0,1,8,1,15,0
261,1,3,0,0,4,2,2,0,6,0,8,4,0,0
262,0,1,0,6,1,1,3,0,2,0,5,1,6,1
263,0,1,0,5,0,0,0,0,0,1,2,1,5,0
264,0,3,1,5,0,0,0,2,0,1,8,2,15,0
265,0,2,0,5,0,0,1,0,0,1,8,1,10,1
266,0,3,0,1,4,1,3,0,5,0,8,1,3,0
267,1,3,0,3,1,0,0,0,1,0,8,1,9,0
268,1,1,1,6,0,1,4,0,1,0,3,3,6,2
269,1,1,1,5,0,0,4,0,0,1,3,2,5,4
270,0,1,0,4,0,0,2,0,0,1,8,1,4,2
271,1,3,0,3,0,0,0,0,0,1,8,1,9,0
272,1,2,1,6,0,1,2,0,1,0,8,3,12,1
273,0,1,0,5,0,1,2,1,1,0,3,1,5,1
274,1,3,1,6,0,0,0,2,0,1,8,2,18,0
275,1,1,1,6,1,0,3,0,1,0,4,2,6,1
276,0,3,1,6,0,0,0,0,0,1,8,2,18,0
277,0,2,0,3,0,0,0,0,0,1,8,1,6,0
278,0,3,0,0,4,1,2,2,5,0,8,4,0,0
279,1,3,1,5,1,1,2,0,2,0,8,3,15,0
280,0,3,0,6,0,0,0,2,0,1,8,1,18,0
281,0,3,0,4,0,0,0,0,0,1,8,1,12,0
282,0,3,0,1,0,0,1,0,0,1,8,1,3,1
283,1,3,0,2,0,0,1,0,0,1,8,1,6,1
284,0,1,0,3,0,0,2,0,0,1,1,1,3,2
285,0,3,0,4,0,0,1,1,0,1,8,1,12,1
286,1,3,0,4,0,0,1,0,0,1,8,1,12,1
287,0,3,0,2,0,0,0,0,0,1,8,1,6,0
288,1,2,0,6,0,0,1,0,0,1,8,1,12,1
289,1,3,1,2,0,0,0,2,0,1,8,2,6,0
290,1,1,1,3,0,0,3,0,0,1,8,2,3,3
291,1,1,1,2,1,0,3,1,1,0,2,3,2,1
292,0,2,0,5,0,0,1,1,0,1,4,1,10,1
293,0,3,1,3,0,0,1,0,0,1,8,2,9,1
294,0,3,0,3,0,0,0,0,0,1,8,1,9,0
295,0,1,0,5,0,0,2,1,0,1,8,1,5,2
296,0,3,0,3,0,0,0,1,0,1,8,1,9,0
297,0,1,1,0,1,2,4,0,3,0,3,2,0,1
298,1,1,0,1,0,0,2,0,0,1,3,1,1,2
299,1,1,1,6,0,1,4,1,1,0,2,3,6,2
300,1,3,1,4,0,0,0,2,0,1,8,2,12,0
301,1,3,0,1,2,0,2,2,2,0,8,1,3,0
302,0,3,0,2,0,0,0,0,0,1,8,1,6,0
303,1,2,1,3,0,0,1,2,0,1,5,2,6,1
304,0,3,0,5,0,0,1,0,0,1,8,1,15,1
305,1,1,0,0,1,2,4,0,3,0,3,4,0,1
306,1,1,1,5,0,0,4,1,0,1,8,2,5,4
307,1,1,1,1,1,0,4,1,1,0,3,3,1,2
308,0,2,0,4,1,0,2,1,1,0,8,1,8,1
309,1,1,1,4,0,0,3,1,0,1,5,2,4,3
310,1,1,1,3,0,0,3,1,0,1,3,2,3,3
311,1,1,1,1,2,2,5,1,4,0,2,2,1,1
312,0,2,1,3,1,1,2,0,2,0,8,3,6,0
313,0,3,0,4,0,0,0,0,0,1,8,1,12,0
314,0,2,0,6,1,1,2,0,2,0,8,1,12,0
315,1,3,1,3,0,0,0,0,0,1,8,2,9,0
316,1,2,1,3,1,0,2,0,1,0,8,3,6,1
317,0,2,0,6,0,0,1,0,0,1,8,5,12,1
318,1,1,1,4,0,2,4,0,2,0,3,2,4,1
319,1,1,1,5,1,1,4,1,2,0,5,3,5,1
320,0,3,0,2,0,0,0,0,0,1,8,1,6,0
321,0,3,0,3,0,0,0,0,0,1,8,1,9,0
322,1,2,1,4,0,0,1,2,0,1,8,2,8,1
323,1,2,1,2,1,1,2,0,2,0,8,3,4,0
324,0,3,0,5,8,2,3,0,10,0,8,1,15,0
325,1,1,1,5,0,0,4,1,0,1,3,2,5,4
326,0,3,0,6,0,0,0,0,0,1,8,1,18,0
327,1,2,1,5,0,0,1,0,0,1,4,3,10,1
328,1,3,1,4,1,1,2,0,2,0,8,3,12,0
329,1,1,1,1,0,1,3,1,1,0,2,2,1,1
330,1,3,1,6,2,0,2,2,2,0,8,2,18,0
331,0,1,0,6,0,0,2,0,0,1,3,1,6,2
332,0,1,0,5,0,1,4,0,1,0,3,1,5,2
333,0,3,0,1,2,0,2,0,2,0,8,1,3,0
334,1,1,1,5,1,0,4,0,1,0,8,3,5,2
335,0,3,0,3,0,0,0,0,0,1,8,1,9,0
336,0,1,0,4,1,0,3,0,1,0,3,1,4,1
337,1,1,1,6,0,0,4,1,0,1,5,2,6,4
338,1,3,0,6,0,0,1,0,0,1,8,1,18,1
339,0,1,0,6,0,0,3,0,0,1,0,1,6,3
340,1,2,0,0,1,1,2,0,2,0,6,4,0,0
341,1,1,1,3,3,2,5,0,5,0,3,2,3,0
342,0,2,0,4,0,0,1,0,0,1,8,1,8,1
343,0,2,0,3,0,0,1,0,0,1,8,1,6,1
344,0,2,0,5,0,0,1,0,0,1,8,1,10,1
345,1,2,1,3,0,0,1,0,0,1,6,2,6,1
346,1,2,1,5,0,0,1,0,0,1,8,2,10,1
347,1,3,1,3,1,0,2,0,1,0,8,3,9,1
348,1,3,0,0,1,1,2,0,2,0,8,4,0,0
349,0,3,0,6,0,0,1,0,0,1,8,1,18,1
350,0,3,0,3,0,0,1,0,0,1,8,1,9,1
351,0,1,0,4,0,0,3,0,0,1,3,1,4,3
352,0,3,0,1,1,1,0,1,2,0,8,1,3,0
353,0,3,0,3,1,0,2,0,1,0,8,1,9,1
354,0,3,0,3,0,0,0,1,0,1,8,1,9,0
355,0,3,0,4,0,0,1,0,0,1,8,1,12,1
356,1,1,1,2,0,1,3,0,1,0,5,2,2,1
357,0,2,1,5,0,0,1,0,0,1,8,2,10,1
358,1,3,1,3,0,0,0,2,0,1,8,2,9,0
359,1,3,1,3,0,0,0,2,0,1,8,2,9,0
360,0,3,0,5,1,4,2,0,5,0,8,1,15,0
361,0,2,0,4,1,0,2,1,1,0,8,1,8,1
362,0,3,1,6,0,1,1,1,1,0,8,3,18,0
363,0,3,0,5,0,0,0,0,0,1,8,1,15,0
364,0,3,0,6,1,0,2,2,1,0,8,1,18,1
365,0,3,0,4,0,0,0,0,0,1,8,1,12,0
366,1,1,1,6,1,0,3,1,1,0,4,3,6,1
367,1,3,1,5,0,0,0,1,0,1,8,3,15,0
368,1,3,1,4,0,0,0,2,0,1,8,2,12,0
369,1,1,1,3,0,0,3,1,0,1,2,3,3,3
370,1,1,0,3,1,0,3,1,1,0,5,1,3,1
371,0,3,0,1,1,0,0,0,1,0,8,1,3,0
372,0,3,0,2,0,0,1,0,0,1,8,1,6,1
373,0,1,0,2,0,0,4,1,0,1,8,1,2,4
374,0,3,1,0,3,1,2,0,4,0,8,2,0,0
375,1,1,1,5,1,0,3,1,1,0,8,3,5,1
376,1,3,1,2,0,0,0,0,0,1,8,2,6,0
377,0,1,0,3,0,2,4,1,2,0,3,1,3,1
378,0,3,0,2,0,0,0,1,0,1,8,1,6,0
379,0,3,0,2,0,0,0,0,0,1,8,1,6,0
380,1,1,1,6,0,0,4,1,0,1,8,2,6,4
381,1,3,1,0,0,2,2,1,2,0,8,2,0,0
382,0,3,0,4,0,0,0,0,0,1,8,1,12,0
383,1,1,1,5,1,0,3,0,1,0,8,3,5,1
384,0,3,0,4,0,0,0,0,0,1,8,1,12,0
385,0,2,0,1,0,0,3,0,0,1,8,1,2,3
386,0,3,0,0,5,2,3,0,7,0,8,4,0,0
387,1,2,1,5,0,0,1,0,0,1,8,2,10,1
388,0,3,0,3,0,0,0,2,0,1,8,1,9,0
389,1,2,1,1,0,0,1,1,0,1,8,2,2,1
390,1,1,0,5,1,2,4,0,3,0,2,1,5,1
391,1,3,0,2,0,0,0,0,0,1,8,1,6,0
392,0,3,0,4,2,0,0,0,2,0,8,1,12,0
393,1,1,1,3,1,0,4,1,1,0,4,2,3,2
394,1,3,1,3,0,2,2,0,2,0,7,3,9,0
395,0,3,0,2,0,0,0,0,0,1,8,1,6,0
396,0,3,1,4,0,0,0,0,0,1,8,2,12,0
397,0,2,0,6,0,0,2,0,0,1,8,1,12,2
398,0,2,0,3,0,0,1,0,0,1,8,5,6,1
399,1,2,1,4,0,0,1,0,0,1,8,3,8,1
400,1,3,0,5,0,0,0,0,0,1,8,1,15,0
401,0,3,0,3,0,0,1,0,0,1,8,1,9,1
402,0,3,1,2,1,0,1,0,1,0,8,2,6,0
403,0,3,0,4,1,0,2,0,1,0,8,1,12,1
404,0,3,1,2,0,0,1,0,0,1,8,2,6,1
405,0,2,0,5,1,0,2,0,1,0,8,1,10,1
406,0,3,0,6,0,0,0,0,0,1,8,1,18,0
407,1,2,0,0,1,1,2,0,2,0,8,4,0,0
408,0,3,0,2,0,0,0,0,0,1,8,1,6,0
409,0,3,1,1,3,1,2,0,4,0,8,2,3,0
410,0,3,0,3,0,0,0,0,0,1,8,1,9,0
411,0,3,0,1,0,0,0,2,0,1,8,1,3,0
412,1,1,1,4,1,0,3,2,1,0,3,2,4,1
413,0,2,0,5,0,0,0,0,0,1,8,1,10,0
414,1,3,0,6,0,0,0,0,0,1,8,1,18,0
415,0,3,1,4,0,0,1,0,0,1,8,3,12,1
416,1,2,1,5,1,1,3,0,2,0,8,3,10,1
417,1,2,1,1,0,2,1,0,2,0,8,2,2,0
418,0,2,0,4,0,0,1,0,0,1,8,1,8,1
419,0,3,1,0,0,2,2,0,2,0,8,2,0,0
420,0,3,0,1,0,0,0,1,0,1,8,1,3,0
421,0,3,0,2,0,0,0,2,0,1,8,1,6,0
422,0,3,0,4,0,0,0,0,0,1,8,1,12,0
423,0,3,1,4,1,1,1,0,2,0,8,3,12,0
424,0,3,0,1,1,1,2,0,2,0,8,1,3,0
425,0,3,0,5,0,0,0,0,0,1,8,1,15,0
426,1,2,1,4,1,0,2,0,1,0,8,3,8,1
427,1,2,1,2,0,0,2,0,0,1,8,2,4,2
428,0,3,0,5,0,0,0,2,0,1,8,1,15,0
429,1,3,0,4,0,0,1,0,0,1,5,1,12,1
430,1,1,0,4,0,0,2,0,0,1,3,1,4,2
431,1,3,1,3,1,0,2,0,1,0,8,3,9,1
432,1,2,1,6,1,0,2,0,1,0,8,3,12,1
433,0,3,0,1,0,0,0,0,0,1,8,1,3,0
434,0,1,0,6,1,0,3,0,1,0,5,1,6,1
435,1,1,1,1,1,2,4,0,3,0,2,2,1,1
436,0,3,1,2,2,2,3,0,4,0,8,2,6,0
437,1,2,1,3,2,3,2,0,5,0,8,3,6,0
438,0,1,0,6,1,4,5,0,5,0,3,1,6,0
439,0,2,0,4,0,0,1,0,0,1,8,1,8,1
440,1,2,1,6,1,1,2,0,2,0,8,3,12,0
441,0,3,0,2,0,0,1,0,0,1,8,1,6,1
442,0,3,0,3,1,0,0,0,1,0,8,1,9,0
443,1,2,1,4,0,0,1,0,0,1,8,2,8,1
444,1,3,0,1,0,0,1,0,0,1,8,1,3,1
445,1,1,0,0,0,2,3,0,2,0,1,4,0,1
446,1,2,1,1,0,1,2,0,1,0,8,2,2,1
447,1,1,0,5,0,0,2,0,0,1,8,1,5,2
448,1,3,1,0,2,1,2,1,3,0,8,2,0,0
449,1,1,0,6,0,0,2,0,0,1,3,5,6,2
450,0,2,0,5,1,2,2,0,3,0,8,1,10,0
451,0,3,0,2,1,0,2,0,1,0,8,1,6,1
452,0,1,0,4,0,0,2,1,0,1,3,1,4,2
453,1,1,0,6,1,0,3,1,1,0,3,1,6,1
454,0,3,0,2,0,0,1,0,0,1,8,1,6,1
455,1,3,0,4,0,0,0,1,0,1,8,1,12,0
456,0,1,0,6,0,0,2,0,0,1,5,1,6,2
457,1,1,1,2,1,0,3,0,1,0,4,3,2,1
458,1,2,1,6,0,0,1,0,0,1,8,2,12,1
459,0,3,0,3,0,0,0,2,0,1,8,1,9,0
460,1,1,0,6,0,0,2,0,0,1,5,1,6,2
461,0,3,0,5,0,0,1,0,0,1,8,1,15,1
